"district","tc_id"
"Mubende",93
"Mityana",41
"Lwengo",4
"Mubende",89
"Masaka",31
"Mubende",71
"Mubende",104
"Mityana",61
"Masaka",19
"Masaka",21
"Lwengo",8
"Mityana",44
"Mubende",83
"Lwengo",5
"Mubende",72
"Masaka",22
"Mubende",97
"Masaka",25
"Mubende",92
"Mubende",110
"Mubende",94
"Mubende",90
"Lwengo",10
"Mityana",45
"Mubende",80
"Mubende",95
"Mubende",111
"Mubende",105
"Mityana",49
"Mubende",98
"Lwengo",2
"Mubende",69
"Mubende",102
"Mubende",77
"Mubende",73
"Masaka",16
"Mubende",70
"Lwengo",11
"Mubende",112
"Mubende",96
"Mityana",50
"Lwengo",12
"Mubende",74
"Masaka",17
"Mubende",103
"Lwengo",6
"Mubende",91
"Mubende",99
"Mityana",51
"Mubende",65
"Mubende",66
"Mubende",108
"Mubende",88
"Masaka",15
"Mityana",34
"Mubende",100
"Mityana",54
"Mityana",62
"Masaka",26
"Lwengo",1
"Mityana",52
"Mubende",78
"Mityana",55
"Mubende",86
"Lwengo",13
"Masaka",23
"Mityana",38
"Masaka",20
"Masaka",18
"Mubende",84
"Mubende",75
"Masaka",24
"Mubende",81
"Mityana",42
"Lwengo",9
"Lwengo",7
"Mubende",107
"Mityana",32
"Mubende",79
"Mityana",39
"Mubende",109
"Masaka",27
"Masaka",28
"Mityana",46
"Mityana",40
"Mityana",33
"Mityana",58
"Masaka",29
"Masaka",30
"Mityana",35
"Mityana",47
"Lwengo",14
"Mityana",56
"Mubende",87
"Mityana",53
"Mityana",59
"Mityana",57
"Mityana",36
"Mityana",60
"Mubende",82
"Mubende",67
"Mityana",37
"Mubende",68
"Lwengo",3
"Mubende",76
"Mityana",63
"Mityana",48
"Mityana",64
"Mubende",101
"Mityana",43
